"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"135",6.3,3e+07,5,120,1,3,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",859,376,720,42,4.40671924726425,0,1
"136",7.4,0,12,90,2,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",136,1758,2652,19,4.21950770517611,1,1
"137",7.4,1.1e+07,1,90,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",811,929,1345,31,3.95124371858143,1,1
"138",8,380000,12,90,0,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",1680,636,1862,8,3.73766961828337,1,0
"139",8.2,0,9,150,2,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1107,1714,2054,11,4.66343909411207,1,1
"140",6.1,0,3,60,1,3,"0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1",1048,127,926,13,3.55534806148941,1,1
"141",6.5,0,9,90,2,3,"1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1385,267,1115,13,3.89182029811063,1,1
"142",7.1,1e+08,6,120,1,3,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0",1326,1266,3314,23,4.57471097850338,1,1
"143",5.4,0,1,150,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1",881,776,3023,7,4.85981240436167,0,0
"144",7.5,0,2,90,1,3,"0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",335,1108,2502,77,4.11087386417331,1,1
"145",7.1,2.7e+07,4,90,1,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",556,2203,2235,32,3.95124371858143,0,1
"146",7.2,3e+07,12,120,1,2,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1346,2390,1873,14,4.33073334028633,1,1
"147",7.8,0,8,120,1,3,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1330,598,742,28,4.30406509320417,0,1
"148",5.9,7500000,4,90,2,3,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",229,1038,2292,6,3.91202300542815,0,1
"149",6.9,1.2e+07,12,90,2,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",964,725,2438,10,4.20469261939097,1,1
"150",6.7,5e+07,2,120,2,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",21,734,453,11,4.27666611901606,1,1
"151",6.5,2.3e+07,8,90,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",533,1471,1366,33,3.78418963391826,1,1
"152",7.1,6e+05,2,90,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1822,308,2911,15,4.02535169073515,0,1
"153",8.2,1820000,6,90,3,2,"0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",513,502,1428,32,4.12713438504509,1,0
"154",6.2,0,10,60,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",1311,1124,2460,29,3.29583686600433,1,1
"155",6.9,1.5e+07,2,60,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",815,1764,2251,19,3.61091791264422,1,1
"156",6.2,3e+07,11,90,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",815,2463,2334,15,3.71357206670431,1,1
"157",6.3,0,10,60,2,3,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1304,2037,778,16,3.36729582998647,1,1
